id,bubble_id,category,name,exercise_slug,slug,creator,commercial_gym,crossfit_hyrox_gym,decent_home_gym,minimal_equipment,no_equipment,created_at,updated_at,raw_json
f2ae64fe-9f18-4287-8ab8-dc8a3cda643c,1771082757520x138613093469280860,Free weights,bench,bench,NULL,(App admin),True,True,True,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""bench"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Free weights"", ""unique_id"": ""1771082757520x138613093469280860"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""bench"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
84a1c05f-930a-4622-976e-2d6f3b8bbe61,1771082757528x219817784816571420,Free weights,dumbbells,dumbbells,NULL,(App admin),True,True,True,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""dumbbells"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Free weights"", ""unique_id"": ""1771082757528x219817784816571420"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""dumbbells"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
ea5af7bb-0cc2-4fd6-808f-29793ed9e8d0,1771082757535x876552579626930400,Free weights,kettlebells,kettlebells,NULL,(App admin),True,True,True,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""kettlebells"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Free weights"", ""unique_id"": ""1771082757535x876552579626930400"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""kettlebells"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
ad61d9c5-0f18-4de4-95c0-c1700da16bda,1771082757541x434620138399638200,Free weights,trap bar,trap_bar,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""trap bar"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Free weights"", ""unique_id"": ""1771082757541x434620138399638200"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""trap_bar"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
e1004d40-6871-4724-b632-76f2857e3768,1771082757547x637197952514780400,Functional / plyo,box,box,NULL,(App admin),True,True,True,True,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""box"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Functional / plyo"", ""unique_id"": ""1771082757547x637197952514780400"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""box"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""yes"", ""crossfit_hyrox_gym"": ""yes""}"
979988ee-466a-439d-9014-5f4d47f60c2c,1771082757553x262138194999801400,Functional / strongman,d-ball,d-ball,NULL,(App admin),False,True,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""d-ball"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Functional / strongman"", ""unique_id"": ""1771082757553x262138194999801400"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""d-ball"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""no"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
2dceee92-0f3c-4717-b814-0017c36e0bcf,1771082757560x284695942372763520,Functional / strongman,sandbag,sandbag,NULL,(App admin),False,True,True,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""sandbag"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Functional / strongman"", ""unique_id"": ""1771082757560x284695942372763520"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""sandbag"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""no"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
de69aef2-8a74-45a0-8977-0e0ecd35adf3,1771082757566x945084143529917300,Gymnastics / rig,pull-up bar,pullup_bar,NULL,(App admin),True,True,True,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""pull-up bar"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Gymnastics / rig"", ""unique_id"": ""1771082757566x945084143529917300"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""pullup_bar"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
a92ab43c-c159-4633-b618-c5783680eb41,1771082757573x627944382464131760,Gymnastics / rig,rings,rings,NULL,(App admin),False,True,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""rings"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Gymnastics / rig"", ""unique_id"": ""1771082757573x627944382464131760"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""rings"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""no"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
800d77a2-2a32-4ffc-afc8-a4e5059677cb,1771082757579x923243789917044700,Running,track/treadmill,treadmill,NULL,(App admin),True,True,True,True,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""track/treadmill"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Running"", ""unique_id"": ""1771082757579x923243789917044700"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""treadmill"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""yes"", ""minimal_equipment"": ""yes"", ""crossfit_hyrox_gym"": ""yes""}"
